Nodes,ID,Label,ColorOfNodes
ABplapaa,5,ABplapaa,"0,0,0"
ABplaaaa,13,ABplaaaa,"0,0,0"
ABplppap,21,ABplppap,"0,0,0"
ABprpaaa,36,ABprpaaa,"34,177,76"
ABprpapa,39,ABprpapa,"34,177,76"
ABprpapp,40,ABprpapp,"34,177,76"
ABprppaa,43,ABprppaa,"34,177,76"
ABprpppa,46,ABprpppa,"34,177,76"
ABprpppp,47,ABprpppp,"34,177,76"
ABprappp,51,ABprappp,"34,177,76"
ABprapap,55,ABprapap,"34,177,76"
ABarappa,67,ABarappa,"0,0,255"
ABarappp,68,ABarappp,"0,0,255"
ABaraapp,74,ABaraapp,"0,0,255"
ABaraaaa,77,ABaraaaa,"0,0,255"
ABaraaap,78,ABaraaap,"0,0,255"
ABarppap,82,ABarppap,"0,0,255"
ABarpppa,85,ABarpppa,"0,0,255"
ABarpppp,86,ABarpppp,"0,0,255"
ABarpapa,89,ABarpapa,"0,0,255"
ABarpapp,90,ABarpapp,"0,0,255"
ABarpaap,93,ABarpaap,"0,0,255"
ABalaaap,99,ABalaaap,"255,0,0"
ABalapaa,106,ABalapaa,"255,0,0"
Abalappa,108,Abalappa,"255,0,0"
ABalappp,109,ABalappp,"255,0,0"
ABalppaa,113,ABalppaa,"255,0,0"
ABalpapa,123,ABalpapa,"255,0,0"
